0.7500008, 0, 7.450581E-08, 1.937151E-07
0.5000005, 0, 6.622738E-08, 1.192093E-07
0.7500008, 0, 7.450581E-08, 1.937151E-07
0.9000012, 0, 1.096725E-07, 3.814697E-07
0.3750002, 0, 2.980232E-08, 2.980232E-08
0.5000005, 0, 6.622738E-08, 1.192093E-07
0.7500008, 0, 7.450581E-08, 1.937151E-07
0.9000012, 0, 1.096725E-07, 3.814697E-07
1.125002, 0, 1.390775E-07, 6.258488E-07
1.285716, 0, 1.532691E-07, 8.34465E-07
1.500003, 0, 1.564622E-07, 9.909272E-07
1.66667, 0, 2.016256E-07, 1.483493E-06
1.875004, 0, 2.264976E-07, 1.877546E-06
2.04546, 0, 2.512262E-07, 2.33E-06
